"Reference","Qty","Value","DNP","Footprint","Mfr #P","Mouser","Unit Price($)"
"C1,C2,C3,C4,C5,C11,C12","7","0.1uF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","KAM21BR71H104JT","https://www.mouser.com/ProductDetail/KYOCERA-AVX/KAM21BR71H104JT?qs=sGAEpiMZZMsh%252B1woXyUXj17cMikWvs6%2F6aKx5H2Tu1A%3D","0.20"
"C6","1","10uF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","LMK212ABJ106KG-T ","https://www.mouser.com/ProductDetail/TAIYO-YUDEN/LMK212ABJ106KG-T?qs=vF%252B8ahGVileYw6h2RCH8zg%3D%3D","0.11"
"C7","1","0.01uF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","KAF21BR72A103JT ","https://www.mouser.com/ProductDetail/KYOCERA-AVX/KAF21BR72A103JT?qs=sGAEpiMZZMvsSlwiRhF8qrQG6leidpLjcDGchfK3z7vBa8kdIii1%252Bg%3D%3D","0.10"
"C8,C9","2","22pF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","0805ZA220JAT2A","https://www.mouser.com/ProductDetail/KYOCERA-AVX/0805ZA220JAT2A?qs=qVfB0%2FDaMDayn2JkoZWS9w%3D%3D","0.21"
"D1","1","USB_PWR_LED","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","150080VS75000 ","https://www.mouser.com/ProductDetail/Wurth-Elektronik/150080VS75000?qs=sGAEpiMZZMv0DJfhVcWlKwb9uSCDLxPfZ0A4%252BcEoadIpft0N0W21Jg%3D%3D","0.19"
"D2","1","uP_PWR_LED","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","150080VS75000 ","https://www.mouser.com/ProductDetail/Wurth-Elektronik/150080VS75000?qs=sGAEpiMZZMv0DJfhVcWlKwb9uSCDLxPfZ0A4%252BcEoadIpft0N0W21Jg%3D%3D","0.19"
"D3","1","USER_LED","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","150080RS75000","https://www.mouser.com/ProductDetail/Wurth-Elektronik/150080RS75000?qs=sGAEpiMZZMv0DJfhVcWlKwb9uSCDLxPfZ0A4%252BcEoadLByPAPOjX%252B%252BQ%3D%3D","0.19"
"D4","1","BL_IND_LED","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","150080VS75000 ","https://www.mouser.com/ProductDetail/Wurth-Elektronik/150080VS75000?qs=sGAEpiMZZMv0DJfhVcWlKwb9uSCDLxPfZ0A4%252BcEoadIpft0N0W21Jg%3D%3D","0.19"
"F1","1","PTCSMD","","Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","0ZCK0050AF2E","https://www.mouser.com/ProductDetail/Bel-Fuse/0ZCK0050AF2E?qs=jyPKP7YLNfA3woHzbzsK%2FQ%3D%3D","0.32"
"J1","1","USB_B_Mini","","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal","UJ2-MBH-4-SMT-TR ","https://www.mouser.com/ProductDetail/Same-Sky/UJ2-MBH-4-SMT-TR?qs=5mqXD9RfOg1Zr%252BwuyT2Oxw%3D%3D","0.81"
"J2","1","CONN_MPU6050","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","","",""
"J3","1","CONN_ULTRA","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","","",""
"J4","1","CONN_SWD","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","","",""
"J5","1","CONN_5V","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","",""
"J6","1","CONN_3V3","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","",""
"J7","1","CONN_DRIVE","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","","",""
"J8","1","CONN_HAL","","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","","",""
"J9","1","CONN_PS2","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","","",""
"J10","1","CONN_TRACK","","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","","",""
"J11","1","CONN_UART","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","","",""
"LED1,LED2","2","IN-PI55TATPRPGPB","","RGB_LED:INPI55TATPRPGPB","IN-PI55TATPRPGPB ","https://www.mouser.com/ProductDetail/Inolux/IN-PI55TATPRPGPB?qs=sGAEpiMZZMv0DJfhVcWlKxHzv%2FYltZfu%252BBc1TH6u%252BMwsxhHGIlDXAQ%3D%3D","0.55"
"MDBT42T-AT1","1","MDBT42T-AT","","MDBT42T-AT:MDBT42T","","",""
"Q1","1","BSS138","","Package_TO_SOT_SMD:SOT-23","BSS138","https://www.mouser.com/ProductDetail/onsemi-Fairchild/BSS138?qs=HK%252BeIG1iaahCeqBvjB4arg%3D%3D&utm_id=9523809487&utm_source=google&utm_medium=cpc&utm_marketing_tactic=amercorp&gad_source=1&gbraid=0AAAAADn_wf2cV0lSxB29jQoWDRwwId2wz&gclid=Cj0KCQjw8cHABhC-ARIsAJnY12zMXAFUoQ3904vzvJd28FuY3n8joEsY5rky5Uj9eqBs7Un41wZ7yoYaAr5qEALw_wcB","0.27"
"R1,R4,R5,R6,R7,R8,R9,R10","8","10k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RK73B2ATTE103J","https://www.mouser.com/ProductDetail/KOA-Speer/RK73B2ATTE103J?qs=I90P2AZw0BqeB%252B5wjce35A%3D%3D","0.11"
"R2,R3","2","22","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RC0805FR-7W22RL ","https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-7W22RL?qs=tggtontpCXP%252BlWTvsYhmYQ%3D%3D","0.11"
"S1","1","JS202011SCQN","","SW_uP_Boot:SW_uP_Boot","JS202011SCQN","https://www.mouser.com/ProductDetail/CK/JS202011SCQN?qs=LgMIjt8LuD95JYWxZ7NvZA%3D%3D&srsltid=AfmBOooDk10u84nJj48V7uU3bUDgIDkJTIEAKKzntJY8as7ztywHo2vc","0.74"
"SW1","1","SW_uP_Reset","","SW_uP_Reset:SW_uP_Reset","434121025816","https://www.mouser.com/ProductDetail/Wurth-Elektronik/434121025816?qs=wr8lucFkNMWyfcUAFbmtRw%3D%3D&srsltid=AfmBOoqmUzwVR0rhJCccY2qUadJOE4Zbjl9C5AaSfC2M-qOmMq9QkSd8","0.58"
"SW2","1","SW_USER","","Button_Switch_SMD:SW_SPST_PTS647_Sx50","TL3305BF100QG","https://www.mouser.com/ProductDetail/E-Switch/TL3305BF100QG?qs=IKkN%2F947nfDIPwqPQja%252BvQ%3D%3D","0.17"
"U1","1","STM32F103RCTx","","Package_QFP:LQFP-64_10x10mm_P0.5mm","STM32F103RCT6","https://www.mouser.com/ProductDetail/STMicroelectronics/STM32F103RCT6?qs=%252BB84zevwoRA6TYzZIgOIoA%3D%3D&srsltid=AfmBOorB_wk13aQhkXRAmWqKkEkl1AJMQaZdGBpGRlHPtWF7jJ_US4zo","8.08"
"U2","1","USBLC6-2SC6","","Package_TO_SOT_SMD:SOT-23-6","USBLC6-2SC6 ","https://www.mouser.com/ProductDetail/STMicroelectronics/USBLC6-2SC6?qs=po45yt2pPpu%2FhNIlwQdTlg%3D%3D&srsltid=AfmBOorrb4qcHt_zavpx6dW-2N_nD-ypjQQTl8BX5PqweivSa0U7CcDK","0.36"
"Y2","1","16MHz","","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","ABM8-16.000MHZ-D1X-T ","https://www.mouser.com/ProductDetail/ABRACON/ABM8-16.000MHZ-D1X-T?qs=vLWxofP3U2w30ayrUAlCvg%3D%3D&srsltid=AfmBOooiNWtWT-IA7ZdvVyV7-fIjOSW66zYC3zO0IDFU50s-rFdXbPsT","0.43"
